9,6,6,4,9,34,6,4,6,11
0,0,0,1,10,7,1,56,10,9
5,3,32,6,2,7,10,16,3,11
12,10,12,4,30,10,5,4,1,8
3,16,7,15,5,14,7,5,18,7
2,1,5,8,12,16,36,5,2,9
35,3,3,11,3,12,3,10,3,12
2,5,4,5,14,31,9,6,4,14
13,14,15,12,9,9,7,2,9,6
0,7,4,2,16,9,4,28,13,10
8,13,7,3,10,21,6,8,6,12
9,2,7,30,4,4,6,12,6,13
6,1,14,5,4,9,9,5,20,21
0,0,9,0,24,12,6,4,4,37
11,4,17,1,9,10,7,13,10,12
4,3,2,10,31,19,6,4,0,15
18,2,3,3,4,4,1,7,6,47
4,5,18,15,25,4,4,8,4,8
1,5,4,14,7,20,10,9,19,6
13,7,8,15,11,7,7,7,14,7
13,18,12,8,8,6,7,5,11,7
5,0,10,20,8,9,7,12,5,20
5,11,9,7,8,6,19,12,7,11
35,8,7,9,3,6,6,5,7,8
8,0,8,11,3,36,4,7,6,10
1,19,2,9,3,28,2,25,4,2
12,4,5,8,5,9,10,9,10,23
15,1,4,4,13,3,3,26,15,11
7,5,18,26,11,4,6,5,5,9
2,4,8,9,16,11,3,5,23,14
1,1,14,3,14,40,4,2,5,10
30,17,10,7,7,4,1,8,6,6
9,5,8,28,7,14,3,4,4,12
7,7,6,28,15,6,6,4,10,5
5,7,7,4,1,14,9,4,30,16
12,11,11,3,14,20,4,3,9,9
15,41,5,3,5,3,5,9,4,5
6,4,4,6,4,9,24,19,20
6,2,11,5,19,5,16,12,9,9
2,8,3,10,24,11,6,7,10,12
31,4,11,5,8,10,7,1,11,8
10,5,7,7,33,7,7,2,7,9
4,5,6,13,6,35,7,7,6,6
17,9,6,2,3,7,7,17,12,16
21,7,6,12,8,7,7,7,8,11
21,5,10,2,10,13,7,4,8,14
21,19,6,14,5,11,4,4,4,9
7,11,5,9,8,4,8,4,8,31
8,5,9,3,13,8,9,5,12,22
11,11,36,6,5,5,7,5,3,6
12,7,15,7,4,27,7,5,4,8
6,7,8,4,4,8,12,6,27,14
4,11,5,40,9,7,9,2,5,4
2,45,7,10,2,4,6,7,6,6
7,9,12,24,6,5,19,3,1,8
13,26,7,4,11,2,17,2,1,12
7,3,18,0,1,0,9,16,26,14
5,6,7,2,4,18,19,8,6,20
13,11,4,13,6,3,14,12,7,14
16,14,11,7,8,4,6,7,9,13
7,1,12,12,16,13,14,9,1,11
27,10,11,2,8,14,6,2,6,9
12,39,8,0,6,5,10,4,4,6
8,7,6,5,11,8,21,5,8,16
0,7,9,1,5,9,19,24,7,13
5,4,3,3,5,33,2,24,9,7
19,6,7,5,8,15,8,8,6,13
10,7,11,9,10,17,10,5,8,6
9,3,19,13,4,19,2,12,2,12
8,3,6,3,45,6,1,6,7,10
9,8,1,3,6,5,0,12,3,47
4,1,7,7,6,4,4,7,31,24
2,8,1,0,8,40,10,2,15,10
7,4,6,6,6,6,29,5,12,14
14,3,21,6,5,5,3,3,18,18
3,9,2,25,6,7,17,3,13,9
21,6,8,4,9,13,12,7,6,9
15,11,6,34,12,2,4,4,4,3
8,22,14,4,7,7,12,14,8
9,2,7,7,5,23,11,5,6,21
8,17,10,7,10,9,8,4,9,13
5,11,4,12,11,11,13,7,8,11
9,28,12,7,9,6,5,6,7,6
17,14,9,12,6,10,6,5,8,8
3,4,2,7,5,6,37,11,8,12
14,7,5,10,11,10,5,11,8,14
6,8,3,7,2,4,6,11,33,14
7,3,7,5,3,5,4,15,31,14
13,9,4,15,11,11,11,2,7,12
6,14,25,10,6,8,4,7,4,9
7,21,11,10,16,14,5,3,3,4
0,8,7,10,7,8,25,6,6,19
5,6,1,5,60,1,2,3,7,4
13,6,5,12,2,6,8,8,17,18
17,7,6,5,12,6,10,7,9,15
26,1,23,17,6,6,2,5,2,6
1,13,6,8,5,6,36,4,7,10
3,12,8,3,3,7,29,4,14,12
17,19,2,3,28,1,6,4,6,9
5,3,26,9,12,8,10,6,5,11
6,4,5,5,5,5,12,31,22
2,3,2,4,4,12,25,25,18
2,2,3,3,3,4,4,62,13
2,3,1,2,2,2,7,17,60
11,7,6,10,13,14,11,10,14
3,3,7,5,5,5,4,35,29
6,5,7,8,9,7,5,14,35
1,2,2,2,3,3,6,10,67
6,7,13,9,8,9,9,14,21
6,6,5,5,8,12,18,17,18
8,4,5,12,8,7,5,15,32
6,3,4,6,4,5,6,26,35
9,9,6,10,5,10,14,12,20
1,1,1,1,2,3,13,28,44
3,4,5,2,9,12,16,19,25
1,1,1,3,3,8,11,38,29
1,2,1,2,3,2,11,8,66
3,2,2,2,2,10,8,19,46
2,4,8,4,3,15,9,24,26
5,4,11,5,9,15,11,14,22
2,2,2,4,7,6,7,11,56
4,31,28,9,6,3,4,4,6
8,8,11,7,10,10,8,10,23
5,21,4,4,2,3,4,6,47
3,2,3,3,4,15,7,13,46
1,1,3,1,4,4,28,32,20
10,8,7,11,6,12,9,7,3,22
3,3,5,3,4,8,9,15,44
1,2,2,2,2,7,11,29,40
2,4,8,5,41,9,8,7,9
5,4,5,8,6,5,10,9,44
4,2,17,13,13,8,5,8,25
4,6,3,5,8,12,10,10,38
5,6,3,6,3,18,9,8,37
4,2,4,3,5,6,7,14,51
5,3,3,9,5,19,16,15,21
2,3,3,2,2,3,4,5,71
4,3,11,5,51,9,13
6,4,5,4,16,3,6,8,45
2,2,3,3,5,6,9,13,52
3,4,4,4,5,6,14,10,46
5,4,6,6,8,9,15,12,29
2,2,2,4,4,4,7,7,63
2,1,2,1,4,4,18,22,41
4,4,5,7,12,10,12,18,24
12,10,5,6,6,7,7,9,11,22
1,1,2,3,4,1,6,5,72
5,3,4,6,2,5,9,9,53
2,4,1,8,20,15,18,18,9
3,2,2,2,2,4,4,53,24
2,2,2,3,2,6,7,56,15
8,6,9,10,12,12,9,18,13
4,3,2,7,5,7,8,10,50
4,3,6,4,7,6,22,27,17
2,1,2,1,2,5,5,49,29
1,1,1,5,5,5,17,21,40
2,1,1,3,3,3,7,18,58
4,3,2,4,3,6,8,12,53
4,4,3,6,8,16,24,16,13
6,8,10,8,12,9,8,8,25
1,1,2,2,4,2,2,68,14
